rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0123.jpg,49.2,0.7348,0.8136,0.6667,0.64,4,4,False,True
2,frame_0074.jpg,29.6,0.6902,0.4804,0.8333,1.0,5,5,False,True
3,frame_0375.jpg,150.0,0.6674,0.7549,0.8333,0.2,8,5,False,True
4,frame_0374.jpg,149.6,0.657,0.7341,0.8333,0.2,8,5,False,False
5,frame_0206.jpg,82.4,0.652,0.0,0.0,0.76,0,0,True,True
6,frame_0011.jpg,4.4,0.6435,0.787,0.1667,1.0,1,1,False,True
7,frame_0029.jpg,11.6,0.6403,0.5807,0.5,1.0,3,3,False,True
8,frame_0070.jpg,28.0,0.6389,0.4778,0.6667,1.0,5,4,False,False
9,frame_0077.jpg,30.8,0.6371,0.6221,0.5,0.88,6,3,False,False
10,frame_0133.jpg,53.2,0.6293,0.6587,0.3333,1.0,2,2,False,True
11,frame_0129.jpg,51.6,0.6283,0.6046,0.5,0.88,5,3,False,False
12,frame_0073.jpg,29.2,0.6226,0.4452,0.6667,1.0,5,4,False,False
13,frame_0005.jpg,2.0,0.6192,0.4383,0.6667,1.0,4,4,False,True
14,frame_0001.jpg,0.4,0.6058,0.5115,0.5,1.0,6,3,False,False
15,frame_0168.jpg,67.2,0.5987,0.5734,0.6667,0.56,5,4,False,True
16,frame_0199.jpg,79.6,0.596,0.0,0.0,0.48,0,0,True,True
17,frame_0169.jpg,67.6,0.5953,0.5826,0.6667,0.52,6,4,False,False
18,frame_0276.jpg,110.4,0.5863,0.5766,0.8333,0.24,7,5,False,True
19,frame_0291.jpg,116.4,0.5828,0.4296,0.6667,0.84,5,4,False,True
20,frame_0128.jpg,51.2,0.5817,0.4273,0.6667,0.84,5,4,False,False
21,frame_0284.jpg,113.6,0.5807,0.5373,0.6667,0.56,5,4,False,False
22,frame_0376.jpg,150.4,0.575,0.586,0.8333,0.16,6,5,False,False
23,frame_0231.jpg,92.4,0.5736,0.4832,1.0,0.16,7,6,False,False
24,frame_0368.jpg,147.2,0.5696,0.6232,0.8333,0.04,7,5,False,False
25,frame_0289.jpg,115.6,0.5642,0.6244,0.3333,0.76,3,2,False,False
26,frame_0274.jpg,109.6,0.5546,0.6451,0.6667,0.16,6,4,False,False
27,frame_0216.jpg,86.4,0.5521,0.7283,0.3333,0.44,2,2,False,False
28,frame_0306.jpg,122.4,0.5491,0.5023,0.8333,0.24,5,5,False,False
29,frame_0004.jpg,1.6,0.5479,0.4959,0.3333,1.0,5,2,False,False
30,frame_0294.jpg,117.6,0.5475,0.507,0.5,0.72,5,3,False,False
31,frame_0124.jpg,49.6,0.5474,0.4228,0.6667,0.68,6,4,False,False
32,frame_0281.jpg,112.4,0.5471,0.6183,0.5,0.44,4,3,False,False
33,frame_0072.jpg,28.8,0.546,0.492,0.3333,1.0,6,2,False,False
34,frame_0075.jpg,30.0,0.5434,0.4028,0.5,0.96,5,3,False,False
35,frame_0087.jpg,34.8,0.543,0.5941,0.5,0.48,3,3,False,False
36,frame_0008.jpg,3.2,0.5404,0.4808,0.3333,1.0,3,2,False,False
37,frame_0127.jpg,50.8,0.5403,0.4605,0.5,0.8,4,3,False,False
38,frame_0397.jpg,158.8,0.5398,0.5995,0.6667,0.2,5,4,False,False
39,frame_0000.jpg,0.0,0.5397,0.5794,0.1667,1.0,5,1,False,False
40,frame_0006.jpg,2.4,0.5396,0.3793,0.5,1.0,3,3,False,False
41,frame_0015.jpg,6.0,0.538,0.376,0.5,1.0,4,3,False,False
42,frame_0170.jpg,68.0,0.5364,0.4808,0.6667,0.48,7,4,False,False
43,frame_0269.jpg,107.6,0.5355,0.7551,0.5,0.04,3,3,False,False
44,frame_0373.jpg,149.2,0.5326,0.6012,0.6667,0.16,6,4,False,False
45,frame_0398.jpg,159.2,0.5296,0.6632,0.5,0.24,5,3,False,False
46,frame_0287.jpg,114.8,0.5279,0.4837,0.5,0.68,6,3,False,False
47,frame_0112.jpg,44.8,0.5263,0.6726,0.5,0.2,3,3,False,False
48,frame_0386.jpg,154.4,0.5257,0.5554,0.6667,0.24,7,4,False,False
49,frame_0194.jpg,77.6,0.5244,0.6367,0.5,0.28,3,3,False,False
50,frame_0167.jpg,66.8,0.5243,0.5086,0.5,0.6,4,3,False,False
51,frame_0031.jpg,12.4,0.5242,0.3483,0.5,1.0,4,3,False,False
52,frame_0125.jpg,50.0,0.5232,0.4583,0.5,0.72,5,3,False,False
53,frame_0330.jpg,132.0,0.5226,0.6292,0.6667,0.04,6,4,False,False
54,frame_0317.jpg,126.8,0.5209,0.5618,0.6667,0.2,5,4,False,False
55,frame_0071.jpg,28.4,0.5207,0.4415,0.3333,1.0,5,2,False,False
56,frame_0387.jpg,154.8,0.5151,0.4503,0.8333,0.2,9,5,False,False
57,frame_0285.jpg,114.0,0.5144,0.4888,0.5,0.6,4,3,False,False
58,frame_0209.jpg,83.6,0.5132,0.4384,0.5,0.72,3,3,False,False
59,frame_0173.jpg,69.2,0.5087,0.5735,0.5,0.36,6,3,False,False
60,frame_0018.jpg,7.2,0.5071,0.4142,0.3333,1.0,4,2,False,False
61,frame_0183.jpg,73.2,0.5043,0.5926,0.6667,0.04,4,4,False,False
62,frame_0178.jpg,71.2,0.503,0.7421,0.3333,0.16,3,2,False,False
63,frame_0288.jpg,115.2,0.5018,0.5157,0.3333,0.72,5,2,False,False
64,frame_0298.jpg,119.2,0.501,0.4779,0.5,0.56,5,3,False,False
65,frame_0010.jpg,4.0,0.5009,0.5018,0.1667,1.0,1,1,False,False
66,frame_0198.jpg,79.2,0.499,0.722,0.1667,0.44,1,1,False,False
67,frame_0024.jpg,9.6,0.4981,0.4962,0.1667,1.0,1,1,False,False
68,frame_0003.jpg,1.2,0.4972,0.3944,0.3333,1.0,6,2,False,False
69,frame_0300.jpg,120.0,0.4971,0.6023,0.3333,0.48,3,2,False,False
70,frame_0332.jpg,132.8,0.4955,0.5749,0.6667,0.04,6,4,False,False
71,frame_0278.jpg,111.2,0.4935,0.4589,0.6667,0.32,5,4,False,False
72,frame_0367.jpg,146.8,0.4924,0.5528,0.6667,0.08,7,4,False,False
73,frame_0032.jpg,12.8,0.4864,0.4727,0.1667,1.0,3,1,False,False
74,frame_0388.jpg,155.2,0.4863,0.4087,0.8333,0.16,7,5,False,False
75,frame_0067.jpg,26.8,0.4821,0.3643,0.3333,1.0,6,2,False,False
76,frame_0323.jpg,129.2,0.4818,0.7156,0.3333,0.12,2,2,False,False
77,frame_0302.jpg,120.8,0.4814,0.5029,0.5,0.4,6,3,False,False
78,frame_0304.jpg,121.6,0.4814,0.5348,0.5,0.32,5,3,False,False
79,frame_0399.jpg,159.6,0.4783,0.4446,0.6667,0.28,5,4,False,False
80,frame_0116.jpg,46.4,0.4778,0.4116,0.6667,0.36,5,4,False,False
81,frame_0282.jpg,112.8,0.4763,0.4607,0.5,0.48,3,3,False,False
82,frame_0030.jpg,12.0,0.4736,0.3472,0.3333,1.0,4,2,False,False
83,frame_0130.jpg,52.0,0.4722,0.3764,0.3333,0.92,4,2,False,False
